App Id,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Price,Size
com.zeroapp.katrina_kaif_wallpapers,3.9,65,"10,000+",10000,25789,0,12M
com.msewa.qwikerpaymerchant,0,0,10+,10,15,0,2.8M
com.stock.stockmaster,0,0,1+,1,4,0,1.3M
com.trainerize.drewgathererpt,0,0,10+,10,15,0,152M
com.antarjaal.startupquotes,4.5,20,"1,000+",1000,1361,0,3.7M
com.secretphotosandvideoslocker,4,2606,"1,000,000+",1000000,1475324,0,6.4M
com.androtech.duohangout,0,0,50+,50,91,0,6.9M
com.limontaxi.finder,3.8,68,"5,000+",5000,9353,0,6.8M
best.photo.app.womanhairstyles2018,3.2,5760,"1,000,000+",1000000,2659567,0,Varies with device
com.famcast.famon,0,0,100+,100,460,0,52M
com.itstock.talk,0,0,100+,100,234,0,3.5M
com.app.enigmaradio,0,0,50+,50,52,0,5.4M
com.carttronics.storeport,0,0,100+,100,231,0,3.9M
com.kgtasarim.DinosaurWallpaper,0,0,500+,500,674,0,9.7M
com.idk.Spaceshipgowee,5,8,10+,10,24,0,14M
com.hoursandpayapp.track,4.4,7,"1,000+",1000,1100,0,9.1M
com.smcreations.aircraftsystems,4.8,21,"5,000+",5000,6487,0,45M
com.aristocracy.crypto.currency.converter.money.exchange.rate.foreignexchange,4.6,178,"5,000+",5000,7653,0,11M
com.avmlogiciels.WinStox.WinStoxMvpApp,0,0,100+,100,255,0,12M
com.vontobel.caas.square,4.3,19,"1,000+",1000,2822,0,21M
com.chordgitarindonesia.androidapp,4.2,47,"10,000+",10000,16522,0,6.6M
com.jjantoine.firstbook,0,0,50+,50,51,0,7.1M
makanaja.com,0,0,5+,5,7,0,9.6M
com.valnargames.bota,0,0,100+,100,195,0,44M
com.bewe.app179,0,0,10+,10,42,0,35M
com.thisgameiscreatedalonebyme.warrior_of_war,4,731,"50,000+",50000,71674,0,29M
com.game.mindgame,4.9,16,10+,10,45,0,4.3M
com.ecler.replayer,0,0,"1,000+",1000,1091,0,4.9M
my.com.clarify.oneidentity,0,0,100+,100,280,0,16M
com.application.bmc.mapleofflineplanner,0,0,50+,50,65,0,3.6M
com.simpleappf1dietplanrecipes,0,0,10+,10,27,0,11M
